City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ulsteinvik,62.3432,5.8487,4.86,69,53,2.24,NO,1709754426
323,daira din panah,30.5702,70.9361,13.22,43,39,4.07,PK,1709754427
324,alexandria,31.2156,29.9553,16.3,64,3,6.21,EG,1709753918
325,bra,44.703,7.8556,8.97,65,3,1.81,IT,1709754427
326,nova sintra,14.8667,-24.7167,19.55,73,0,9.41,CV,1709754428
327,qaisumah,28.3112,46.1273,16.98,31,20,4.12,SA,1709754428
328,kapuskasing,49.4169,-82.4331,0.05,37,0,1.54,CA,1709754428
329,sumbawa besar,-8.5,117.4333,24.96,92,91,1.37,ID,1709754428
330,boa vista,2.8197,-60.6733,34.99,41,40,8.23,BR,1709754429
331,westport,41.1415,-73.3579,10.81,91,100,3.09,US,1709754307
332,taganrog,47.2362,38.8969,1.14,61,100,7.27,RU,1709754429
333,kibaya,-5.3,36.5667,15.43,93,30,1.58,TZ,1709754430
334,carutapera,-1.195,-46.02,28.17,79,100,3.57,BR,1709754430
335,saint-philippe,-21.3585,55.7679,25.77,82,100,5.35,RE,1709754430
336,sarmiento,-45.5882,-69.07,19.82,24,6,8.58,AR,1709754430
337,cestos city,5.46,-9.5828,27.9,86,16,4.51,LR,1709754431
338,hammerfest,70.6634,23.6821,3.25,100,75,6.69,NO,1709754432
339,treasure island,27.7692,-82.769,26.27,78,75,4.63,US,1709754432
340,aromashevo,56.8602,68.6375,-17.84,100,97,0.9,RU,1709754432
341,kashin,57.3592,37.6081,-6.38,94,95,1.66,RU,1709754433
342,socorro,31.6546,-106.3033,22.24,17,75,9.77,US,1709754213
343,bardai,11.65,7.2333,32.83,14,99,1.79,NG,1709754433
344,sao joao da barra,-21.6403,-41.0511,28.05,89,78,4.52,BR,1709754433
345,springs,-26.25,28.4,25.93,68,0,3.2,ZA,1709754434
346,sompeta,18.9333,84.6,26.19,69,89,2.69,IN,1709754434
347,santiago de cao,-7.9589,-79.2392,24.07,83,0,4.12,PE,1709754434
348,strezhevoy,60.7333,77.5889,-23.91,100,88,1.79,RU,1709754434
349,luderitz,-26.6481,15.1594,16.96,76,5,2.14,,1709754435
350,satna,24.5833,80.8333,17.2,24,2,1.95,IN,1709754435
351,whitehorse,60.7161,-135.0538,-8.28,60,75,8.23,CA,1709754435
352,bonito,-21.1211,-56.4819,32.58,46,65,1.57,BR,1709754435
353,tucuma,-0.1833,-50.05,27.84,84,96,3.19,BR,1709754436
354,qamdo,31.1667,97.2333,-5.42,84,100,0.81,CN,1709754436
355,vila franca do campo,37.7167,-25.4333,13.23,66,100,12.08,PT,1709754437
356,as sulayyil,20.4607,45.5779,24.14,30,68,6.75,SA,1709754437
357,kalabo,-14.97,22.6814,22.91,68,29,1.09,ZM,1709754437
358,sinabang,2.4803,96.3801,26.64,84,96,1.5,ID,1709754437
359,narasannapeta,18.4167,84.05,25.1,74,34,1.62,IN,1709754438
360,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,91,0,5.81,RU,1709754438
361,komsomol'sk,49.0097,33.6455,1.72,68,42,5.46,UA,1709754438
362,likiep,9.8251,169.3107,26.56,78,80,10.3,MH,1709754438
